RR,BApplication,NAP,latitude,longitude,biochar_pH,highestT,Biochar carbon,Biochar.Nitrogen,Biochar.Ash,Biochar C/N,Soil_PH,CEC,Soil Organic Carbon,sand,silt,clay,feedstock,croptype,texture,PyrolysisType
0.1,20,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.5,\N,23.5,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.11,40,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.5,\N,23.5,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.24,10,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.5,\N,23.5,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.09,20,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.5,\N,23.5,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.2,40,300,31.5,119.75,10.4,450,0.47,0.01,0.21,79.15254237,6.5,\N,23.5,\N,\N,0.39,Nonwood,cereal,Medium,slow
0.17,20,300,34.5,115.5,10.4,450,0.47,0.01,0.21,79.15254237,8.38,\N,9.87,\N,\N,\N,Nonwood,cereal,Medium,slow
0.11,40,300,34.5,115.5,10.4,450,0.47,0.01,0.21,79.15254237,8.38,\N,9.87,\N,\N,\N,Nonwood,cereal,Medium,slow
0.15,20,0,34.5,115.5,10.4,450,0.47,0.01,0.21,79.15254237,8.38,\N,9.87,\N,\N,\N,Nonwood,cereal,Medium,slow
0.07,40,0,34.5,115.5,10.4,450,0.47,0.01,0.21,79.15254237,8.38,\N,9.87,\N,\N,\N,Nonwood,cereal,Medium,slow
0.06,8,0,19.5,102,7.5,\N,0.87,\N,\N,\N,5.6,18,30,0.54,0.21,0.26,Wood,cereal,Medium,\N
0.02,10,60,35.5,134.25,9.2,500,0.03,0,\N,22.25827815,6.36,0.71,\N,0.95,0.01,0.04,Manure,cereal,Light,slow
0.75,15,60,35.5,134.25,9.2,500,0.03,0,\N,22.25827815,6.36,0.71,\N,0.95,0.01,0.04,Manure,cereal,Light,slow
0.56,20,60,35.5,134.25,9.2,500,0.03,0,\N,22.25827815,6.36,0.71,\N,0.95,0.01,0.04,Manure,cereal,Light,slow
0.07,10,60,35.5,134.25,9.2,500,0.03,0,\N,22.25827815,6.36,0.71,\N,0.95,0.01,0.04,Manure,cereal,Light,slow
0.92,15,60,35.5,134.25,9.2,500,0.03,0,\N,22.25827815,6.36,0.71,\N,0.95,0.01,0.04,Manure,cereal,Light,slow
0.68,20,60,35.5,134.25,9.2,500,0.03,0,\N,22.25827815,6.36,0.71,\N,0.95,0.01,0.04,Manure,cereal,Light,slow
-0.11,8,0,19.5,102,7.5,\N,0.87,\N,\N,\N,6.8,15,22,0.29,0.41,0.3,Wood,cereal,Medium,\N
0.04,10,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
0.33,30,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
0.89,60,\N,\N,\N,7.2,500,0.84,0.01,\N,70,6.7,\N,\N,0.55,0.3,0.15,Wood,grass,Light,slow
