RR,BApplication,NAP,latitude,longitude,biochar_pH,highestT,Biochar carbon,Biochar.Nitrogen,Biochar.Ash,Biochar C/N,Soil_PH,CEC,Soil Organic Carbon,sand,silt,clay,feedstock,croptype,texture,PyrolysisType
0.16,30,0,34,71.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,\N,\N
0.05,30,150,34,71.5,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,\N,\N
0.25,30,122,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.33,60,122,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.25,30,0,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.29,60,0,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.19,30,0,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.31,60,0,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.25,30,122,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.25,60,122,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.28,30,0,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.33,60,0,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.29,30,0,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
0.22,60,0,44,11,7.2,500,0.84,0.01,\N,70,5.2,18,2.1,0.5,0.43,0.07,Wood,cereal,Light,slow
-0.1,1,0,-30.5,115.75,\N,650,0.65,0,\N,162.5,5.8,\N,5.6,\N,\N,\N,Wood,cereal,Light,slow
0.33,1,0,-30.5,115.75,\N,650,0.65,0,\N,162.5,5.8,\N,5.6,\N,\N,\N,Wood,cereal,Light,slow
0.14,1,0,-30.5,115.75,\N,650,0.65,0,\N,162.5,5.8,\N,5.6,\N,\N,\N,Wood,cereal,Light,slow
-0.01,1,0,-30.5,115.75,\N,650,0.65,0,\N,162.5,5.8,\N,5.6,\N,\N,\N,Wood,cereal,Light,slow
0.15,1,0,-30.5,115.75,\N,650,0.65,0,\N,162.5,5.8,\N,5.6,\N,\N,\N,Wood,cereal,Light,slow
-0.14,1,0,-30.5,115.75,\N,650,0.65,0,\N,162.5,5.8,\N,5.6,\N,\N,\N,Wood,cereal,Light,slow
0.02,1,\N,-30.5,115.75,\N,650,0.65,0,\N,162.5,5.8,\N,5.6,\N,\N,\N,Wood,cereal,Light,slow
0.05,0.75,8.75,-34.5,138.75,\N,550,0.68,0,\N,168.75,8.4,\N,17.2,\N,\N,\N,Wood,cereal,Light,slow
-0.06,0.75,8.75,-34.5,138.75,\N,550,0.68,0,\N,168.75,6.5,\N,21.5,\N,\N,\N,Wood,cereal,Light,slow
-0.29,10,100,-34.12,150.5,9.4,450,0.36,0,\N,200,4.5,7.7,18,\N,\N,\N,Nonwood,root,Medium,slow
0.77,50,100,-34.12,150.5,9.4,450,0.36,0,\N,200,4.5,7.7,18,\N,\N,\N,Nonwood,root,Medium,slow
0.99,100,100,-34.12,150.5,9.4,450,0.36,0,\N,200,4.5,7.7,18,\N,\N,\N,Nonwood,root,Medium,slow
-0.69,10,0,-34.12,150.5,9.4,450,0.36,0,\N,200,4.5,7.7,18,\N,\N,\N,Nonwood,root,Medium,slow
0,50,0,-34.12,150.5,9.4,450,0.36,0,\N,200,4.5,7.7,18,\N,\N,\N,Nonwood,root,Medium,slow
0.18,100,0,-34.12,150.5,9.4,450,0.36,0,\N,200,4.5,7.7,18,\N,\N,\N,Nonwood,root,Medium,slow
0.06,25,240,26.5,127.5,7.3,600,\N,\N,\N,\N,\N,\N,\N,0.08,0.33,0.59,Nonwood,grass,Heavy,slow
0.18,8.3,240,26.5,127.5,7.2,600,\N,\N,\N,\N,\N,\N,\N,0.08,0.33,0.59,Manure,grass,Heavy,slow
0.21,\N,0,-15.27,28.87,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,Wood,tree,Medium,\N
0.22,0.8,77,-14.75,24.88,8,400,0.74,0.01,\N,82.22222222,5.6,4.3,3.34,\N,\N,\N,Nonwood,cereal,Light,slow
1.66,4,77,-14.75,24.88,8,400,0.74,0.01,\N,82.22222222,5.6,4.3,3.34,\N,\N,\N,Nonwood,cereal,Light,slow
0.32,0.8,77,-14.75,24.88,8,400,0.74,0.01,\N,82.22222222,5.6,4.3,3.34,\N,\N,\N,Nonwood,cereal,Light,slow
1.29,4,77,-14.75,24.88,8,400,0.74,0.01,\N,82.22222222,5.6,4.3,3.34,\N,\N,\N,Nonwood,cereal,Light,slow
0.41,0.8,77,-14.75,24.88,8.4,400,0.64,0.01,\N,80,5.6,4.3,3.34,\N,\N,\N,Wood,cereal,Light,slow
1.5,4,77,-14.75,24.88,8.4,400,0.64,0.01,\N,80,5.6,4.3,3.34,\N,\N,\N,Wood,cereal,Light,slow
0.16,0.8,77,-14.75,24.88,8.4,400,0.64,0.01,\N,80,5.6,4.3,3.34,\N,\N,\N,Wood,cereal,Light,slow
0.93,4,77,-14.75,24.88,8.4,400,0.64,0.01,\N,80,5.6,4.3,3.34,\N,\N,\N,Wood,cereal,Light,slow
0.35,4,154,-15.5,28.75,8,400,0.74,0.01,\N,82.22222222,4.8,9.1,8,\N,\N,\N,Nonwood,cereal,Light,slow
-0.69,10,16.25,-34.25,142.25,9.4,550,0.5,0,\N,104.1666667,7.67,31,\N,\N,\N,\N,Wood,root,Medium,slow
0.31,10,16.25,-34.25,142.25,9.4,550,0.5,0,\N,104.1666667,7.67,31,\N,\N,\N,\N,Wood,legume,Medium,slow
-0.64,10,16.25,-34.25,142.25,9.4,550,0.5,0,\N,104.1666667,7.67,31,\N,\N,\N,\N,Wood,cereal,Medium,slow
-0.15,10,0,-34.25,142.25,9.4,550,0.5,0,\N,104.1666667,7.67,31,\N,\N,\N,\N,Wood,legume,Medium,slow
-0.69,10,0,-34.25,142.25,9.4,550,0.5,0,\N,104.1666667,7.67,31,\N,\N,\N,\N,Wood,cereal,Medium,slow
0.41,10,0,-34.25,142.25,9.4,550,0.5,0,\N,104.1666667,7.67,31,\N,\N,\N,\N,Wood,root,Medium,slow
0.07,0.8,154,-15.5,28.75,8.4,400,0.64,0.01,\N,80,4.8,9.1,8,\N,\N,\N,Wood,cereal,Light,slow
0.27,4,154,-15.5,28.75,8.4,400,0.64,0.01,\N,80,4.8,9.1,8,\N,\N,\N,Wood,cereal,Light,slow
-0.13,0.8,77,-13.5,29.5,8,400,0.74,0.01,\N,82.22222222,6.5,3.1,4,\N,\N,\N,Nonwood,cereal,Light,slow
-0.32,4,77,-13.5,29.5,8,400,0.74,0.01,\N,82.22222222,6.5,3.1,4,\N,\N,\N,Nonwood,cereal,Light,slow
0.08,0.8,77,-13.5,29.5,8,400,0.74,0.01,\N,82.22222222,6.5,3.1,4,\N,\N,\N,Nonwood,cereal,Light,slow
-0.2,4,77,-13.5,29.5,8,400,0.74,0.01,\N,82.22222222,6.5,3.1,4,\N,\N,\N,Nonwood,cereal,Light,slow
-0.06,0.8,77,-13.5,29.5,8.4,400,0.64,0.01,\N,80,6.5,3.1,4,\N,\N,\N,Wood,cereal,Light,slow
0.15,4,77,-13.5,29.5,8.4,400,0.64,0.01,\N,80,6.5,3.1,4,\N,\N,\N,Wood,cereal,Light,slow
0,0.8,77,-13.5,29.5,8.4,400,0.64,0.01,\N,80,6.5,3.1,4,\N,\N,\N,Wood,cereal,Light,slow
0.09,4,77,-13.5,29.5,8.4,400,0.64,0.01,\N,80,6.5,3.1,4,\N,\N,\N,Wood,cereal,Light,slow
-0.01,0.8,154,-15.5,28.5,8,400,0.74,0.01,\N,82.22222222,7.9,16.6,8.7,\N,\N,\N,Nonwood,cereal,Medium,slow
-0.1,4,154,-15.5,28.5,8,400,0.74,0.01,\N,82.22222222,7.9,16.6,8.7,\N,\N,\N,Nonwood,cereal,Medium,slow
-0.29,0.8,154,-15.5,28.5,8.4,400,0.64,0.01,\N,80,7.9,16.6,8.7,\N,\N,\N,Wood,cereal,Medium,slow
-0.28,4,154,-15.5,28.5,8.4,400,0.64,0.01,\N,80,7.9,16.6,8.7,\N,\N,\N,Wood,cereal,Medium,slow
0.14,40,\N,32.2,-112,\N,\N,\N,\N,\N,\N,8.15,\N,\N,\N,\N,\N,Wood,vegetable,Medium,\N
-0.39,80,\N,32.2,-112,\N,\N,\N,\N,\N,\N,8.15,\N,\N,\N,\N,\N,Wood,vegetable,Medium,\N
0.16,40,\N,32.2,-112,\N,\N,\N,\N,\N,\N,8.15,\N,\N,\N,\N,\N,Wood,grass,Medium,\N
0,80,\N,32.2,-112,\N,\N,\N,\N,\N,\N,8.15,\N,\N,\N,\N,\N,Wood,grass,Medium,\N
0.41,40,0,32.2,-112,\N,\N,\N,\N,\N,\N,8.15,\N,\N,\N,\N,\N,Wood,vegetable,Medium,\N
0.45,80,0,32.2,-112,\N,\N,\N,\N,\N,\N,8.15,\N,\N,\N,\N,\N,Wood,vegetable,Medium,\N
0.43,40,\N,32.2,-112,\N,\N,\N,\N,\N,\N,8.15,\N,\N,\N,\N,\N,Wood,vegetable,Medium,\N
0.87,80,\N,32.2,-112,\N,\N,\N,\N,\N,\N,8.15,\N,\N,\N,\N,\N,Wood,vegetable,Medium,\N
0.25,0.8,154,-15.75,28.25,8,400,0.74,0.01,\N,82.22222222,5.9,26.2,11.61,\N,\N,\N,Nonwood,cereal,Heavy,slow
-0.25,4,154,-15.75,28.25,8,400,0.74,0.01,\N,82.22222222,5.9,26.2,11.61,\N,\N,\N,Nonwood,cereal,Heavy,slow
-0.06,0.8,154,-15.75,28.25,8.4,400,0.64,0.01,\N,80,5.9,26.2,11.61,\N,\N,\N,Wood,cereal,Heavy,slow
-0.06,4,154,-15.75,28.25,8.4,400,0.64,0.01,\N,80,5.9,26.2,11.61,\N,\N,\N,Wood,cereal,Heavy,slow
0.06,10,300,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.03,20,300,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.02,40,300,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
-0.04,10,300,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
-0.1,20,300,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
-0.09,40,300,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0,10,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.02,20,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.03,40,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.05,10,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.06,20,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.1,40,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
-0.22,10,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0,20,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0,40,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.06,10,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.07,20,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.11,40,120,31.5,119.75,10.35,450,0.47,0.01,\N,79.15254237,6.07,18.05,20.71,\N,\N,0.39,Nonwood,cereal,Paddy,slow
0.18,\N,90,0.33,32.6,\N,900,0.82,\N,0.12,\N,4.7,16.8,26.9,0.36,0.22,0.42,Wood,cereal,Medium,fast
-0.98,10,16.25,-34.25,142.25,8.2,550,0.52,0,\N,167.7419355,7.67,31,\N,\N,\N,\N,Wood,root,Medium,slow
0.19,10,16.25,-34.25,142.25,8.2,550,0.52,0,\N,167.7419355,7.67,31,\N,\N,\N,\N,Wood,legume,Medium,slow
-0.35,10,16.25,-34.25,142.25,8.2,550,0.52,0,\N,167.7419355,7.67,31,\N,\N,\N,\N,Wood,cereal,Medium,slow
0,10,0,-34.25,142.25,8.2,550,0.52,0,\N,167.7419355,7.67,31,\N,\N,\N,\N,Wood,legume,Medium,slow
-0.13,10,0,-34.25,142.25,8.2,550,0.52,0,\N,167.7419355,7.67,31,\N,\N,\N,\N,Wood,cereal,Medium,slow
1.25,10,0,-34.25,142.25,8.2,550,0.52,0,\N,167.7419355,7.67,31,\N,\N,\N,\N,Wood,root,Medium,slow
0.5,\N,90,0.33,32.6,\N,900,0.37,\N,0.56,\N,4.7,16.8,26.9,0.36,0.22,0.42,Nonwood,cereal,Medium,fast
0.49,\N,90,0.33,32.6,\N,600,0.61,\N,0.16,\N,4.7,16.8,26.9,0.36,0.22,0.42,Nonwood,cereal,Medium,fast
-0.05,\N,90,0.33,32.6,\N,600,0.78,\N,0.02,\N,4.7,16.8,26.9,0.36,0.22,0.42,Wood,cereal,Medium,fast
-0.03,\N,90,0.33,32.6,\N,600,0.74,\N,0.13,\N,4.7,16.8,26.9,0.36,0.22,0.42,Nonwood,cereal,Medium,fast
0.29,\N,90,0.33,32.6,\N,600,0.69,\N,0.14,\N,4.7,16.8,26.9,0.36,0.22,0.42,Nonwood,cereal,Medium,fast
0.2,\N,90,0.33,32.6,\N,600,0.21,\N,0.54,\N,4.7,16.8,26.9,0.36,0.22,0.42,Nonwood,cereal,Medium,fast
0.08,\N,\N,36,140.65,\N,\N,\N,\N,\N,\N,5.7,\N,\N,\N,\N,\N,\N,root,Heavy,\N
-0.17,10,0,51.65,9.88,5.6,190,0.52,0.02,\N,23.63636364,\N,\N,11,0.04,0.84,0.13,Nonwood,root,Medium,slow
-0.12,10,50,51.65,9.88,5.6,190,0.52,0.02,\N,23.63636364,\N,\N,\N,0.04,0.84,0.13,Nonwood,root,Medium,slow
-0.03,10,100,51.65,9.88,5.6,190,0.52,0.02,\N,23.63636364,\N,\N,\N,0.04,0.84,0.13,Nonwood,root,Medium,slow
0,10,150,51.65,9.88,5.6,190,0.52,0.02,\N,23.63636364,\N,\N,\N,0.04,0.84,0.13,Nonwood,root,Medium,slow
0,10,0,51.65,9.88,5.6,190,0.52,0.02,\N,23.63636364,\N,\N,\N,0.04,0.84,0.13,Nonwood,root,Medium,slow
-0.05,10,50,51.65,9.88,5.6,190,0.52,0.02,\N,23.63636364,\N,\N,\N,0.04,0.84,0.13,Nonwood,root,Medium,slow
-0.05,10,100,51.65,9.88,5.6,190,0.52,0.02,\N,23.63636364,\N,\N,\N,0.04,0.84,0.13,Nonwood,root,Medium,slow
-0.02,10,150,51.65,9.88,5.6,190,0.52,0.02,\N,23.63636364,\N,\N,\N,0.04,0.84,0.13,Nonwood,root,Medium,slow
0.13,11,0,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.39,22,0,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.18,11,250,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.01,22,250,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.13,11,0,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.25,22,0,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.06,11,250,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
-0.14,22,250,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
-0.43,11,0,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.26,22,0,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.03,11,250,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
-0.11,22,250,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.01,11,0,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.39,22,0,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
-0.01,11,250,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
-0.06,22,250,31.5,-83.5,10.12,400,0.73,0.02,\N,38,5.59,\N,4.35,\N,\N,\N,Nonwood,cereal,Light,slow
0.12,8,0,19.5,102,7.5,\N,0.87,\N,\N,\N,6.2,9,11,0.32,0.39,0.29,Wood,cereal,Heavy,\N
-0.08,11,0,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0.04,22,0,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0,11,250,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
-0.01,22,250,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0,11,0,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
-0.31,22,0,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0.26,11,250,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0,22,250,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
-0.26,11,0,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
-0.35,22,0,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
-0.04,11,250,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
-0.1,22,250,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0.35,11,0,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0.44,22,0,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0.21,11,250,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
0.02,22,250,31.5,-83.5,7.54,400,0.77,0,\N,453,5.59,\N,4.35,\N,\N,\N,Wood,cereal,Light,slow
-0.19,5,0,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.1,5,10,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.06,5,20,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.19,5,80,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.16,5,100,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.1,10,0,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.09,10,10,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.02,10,20,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.16,10,80,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.25,10,100,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.08,20,0,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.3,20,10,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.01,20,20,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.14,20,80,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.34,20,100,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.24,50,0,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.16,50,10,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.05,50,20,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.14,50,80,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
0.35,50,100,51.75,-0.25,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,cereal,Light,\N
-0.24,\N,\N,\N,\N,4.51,220,0.65,0.04,\N,16.25,\N,\N,\N,0.74,0.19,0.08,Nonwood,legume,Light,slow
-0.08,\N,\N,\N,\N,4.51,220,0.65,0.04,\N,16.25,\N,\N,\N,0.74,0.19,0.08,Nonwood,legume,Light,slow
-0.36,\N,\N,\N,\N,4.51,220,0.65,0.04,\N,16.25,\N,\N,\N,0.74,0.19,0.08,Nonwood,legume,Light,slow
-0.27,\N,\N,\N,\N,4.51,220,0.65,0.04,\N,16.25,\N,\N,\N,0.74,0.19,0.08,Nonwood,legume,Light,slow
0.04,12,119.96,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.36,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.11,12,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.36,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.16,30,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.36,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.52,12,66.16,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.36,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.14,3,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.36,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.32,12,87.68,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.36,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.14,1,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.36,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.18,3,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
0.09,12,119.96,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.03,12,66.16,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.19,30,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
0.1,12,87.68,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.13,12,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.07,12,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.22,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
0.24,12,119.96,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.5,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
0.02,12,66.16,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.32,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
0,3,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.48,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.03,12,87.68,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.3,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.25,30,109.2,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.36,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
0,12,119.96,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
-0.02,12,87.68,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
0.01,12,66.16,42.72,-76.65,10.02,600,0.29,0,0.64,96,7.44,9.76,16.2,0.42,0.31,0.27,Nonwood,cereal,Medium,slow
